ear,mar,driver_state,label
0.3003,1.1495,alert,0
0.5563,0.4436,alert,0
0.3253,1.1899,alert,0
0.341,0.6236,alert,0
0.2946,1.0679,alert,0
0.2257,0.9962,alert,0
0.2894,1.1012,alert,0
0.2658,1.2141,alert,0
0.3475,0.9051,alert,0
0.3927,1.1306,alert,0
0.3276,1.327,alert,0
0.3391,1.0921,alert,0
0.3448,0.8298,alert,0
0.3354,0.8678,alert,0
0.3738,1.2927,alert,0
0.3746,1.2767,alert,0
0.3107,1.0467,alert,0
0.3352,1.4135,alert,0
0.2988,1.1688,alert,0
0.2892,0.8805,alert,0
0.2949,1.1737,alert,0
0.3415,1.1204,alert,0
0.3277,1.3424,alert,0
0.341,0.999,alert,0
0.1682,0.9475,alert,0
0.117,1.5723,alert,0
0.2124,1.2963,alert,0
0.3423,1.2483,alert,0
0.323,0.64,alert,0
0.3452,0.927,alert,0
0.2925,1.2523,alert,0
0.3051,0.872,alert,0
0.3251,1.275,alert,0
0.2709,0.8976,alert,0
0.283,1.3492,alert,0
0.1756,0.9483,alert,0
0.3339,1.0363,alert,0
0.3054,1.4502,alert,0
0.1861,1.1137,alert,0
0.2893,1.1594,alert,0
0.4871,2.8196,alert,0
0.3796,1.1678,alert,0
0.2683,0.9608,alert,0
0.2578,1.0857,alert,0
0.3401,1.0111,alert,0
0.2733,1.0811,alert,0
0.3062,0.6358,alert,0
0.33,1.035,alert,0
0.2755,1.4924,alert,0
0.3008,1.0633,alert,0
0.3487,0.9979,alert,0
0.4246,1.9165,alert,0
0.3179,0.9661,alert,0
0.3501,1.1747,alert,0
0.3898,0.6497,alert,0
0.2054,1.548,alert,0
0.3815,0.884,alert,0
0.3262,0.7723,alert,0
0.2806,1.166,alert,0
0.2709,1.2652,alert,0
0.184,1.0122,alert,0
0.3111,0.878,alert,0
0.3506,1.837,alert,0
0.2999,1.1169,alert,0
0.3365,0.7722,alert,0
0.1952,1.0069,alert,0
0.33,1.1489,alert,0
0.2354,1.4344,alert,0
0.1945,1.1516,alert,0
0.1618,1.0616,alert,0
0.2587,1.0739,alert,0
0.2639,0.9828,alert,0
0.2131,2.0064,alert,0
0.3064,0.8807,alert,0
0.3347,1.1976,alert,0
0.2497,1.0321,alert,0
0.1776,1.0539,alert,0
0.3471,0.9295,alert,0
0.2361,1.0778,alert,0
0.2348,1.3398,alert,0
0.2969,1.3004,alert,0
0.2369,1.4362,alert,0
0.3411,1.2273,alert,0
0.2753,0.9968,alert,0
0.34,1.143,alert,0
0.3299,2.0699,alert,0
0.2759,1.0808,alert,0
0.3519,1.1464,alert,0
0.2811,1.0244,alert,0
0.397,0.9404,alert,0
0.1676,1.5336,alert,0
0.3879,0.6375,alert,0
0.3157,1.1283,alert,0
0.3357,1.1957,alert,0
